gemeente,inwoners,capaciteitKVA,gasaansluitingen,provincie,mercator/x,mercator/y,lngLat/lat,lngLat/lng,percentageGroeneEnergie/2010,percentageGroeneEnergie/2011,percentageGroeneEnergie/2012,percentageGroeneEnergie/2013,percentageGroeneEnergie/2014,percentageGroeneEnergie/2015,percentageGroeneEnergie/2016,percentageGroeneEnergie/2017,percentageGroeneEnergie/2018
Ooststellingwerf,3710,10045,1343,Friesland,701865.354,6947162.834,52.990859,6.3049638,"2,8","3,3","3,4","3,6","4,9","5,8","6,2","7,0","9,4"
Terschelling,4885,11680,3057,Friesland,595725.239,7010703.473,53.3339055,5.3514909,"2,5","2,6","2,4","2,4","2,7","2,7","2,6","2,7","3,3"
Vlieland,1150,4290,815,Friesland,556031.13,6986395.376,53.202995,4.9949126,"1,8","1,9",?,"1,6","1,8","1,9","1,9","1,8","3,2"
Weststellingwerf,4250,6045,1391,Friesland,668882.57,6925250.572,52.8719184,6.0086744,"2,8","3,3",?,"3,5","4,0","4,0","4,3","4,8","6,5"
Urk,21025,24100,7177,Flevoland,623254.385,6887356.4,52.6654515,5.5987894,"1,5","1,8","2,0","2,2","2,6","3,7","7,6","12,6","13,4"
Aalten,27100,42480,12031,Gelderland,732596.519,6753564.991,51.9285963,6.5810265,"8,0","9,0","9,0","9,3","10,8","11,4","11,0","11,0","12,7"
Apeldoorn,163735,222395,68021,Gelderland,663903.71,6805419.199,52.2156457,5.9639485,"2,3","3,4","4,0","4,0","5,5","5,1","4,6","4,8","5,7"
Arnhem,161255,183370,67526,Gelderland,657993.625,6763593.709,51.984257,5.9108573,"2,2","2,8",?,?,?,"2,9","2,3",?,"3,8"
Barneveld,59025,103235,22795,Gelderland,621901.831,6792170.095,52.142479,5.5866392,"2,5","3,1","3,3","3,2","4,0","3,8","3,2","3,6","5,0"
Beuningen,25830,34945,11481,Gelderland,642019.244,6740982.058,51.8586611,5.767357,"24,8","27,3",?,"27,3","28,2","28,9","28,7","27,7","27,8"
Brummen,20680,32850,9162,Gelderland,685378.887,6782197.566,52.087327,6.1568633,"1,2","1,6","1,4","1,5",?,"2,0","1,0","1,2","1,5"
Buren,26705,50980,10508,Gelderland,593777.93,6750445.779,51.9112701,5.3339979,"6,9","7,4","12,1","11,9","12,0","20,0","21,3","21,1","22,8"
Culemborg,28950,36010,11217,Gelderland,581678.203,6758744.225,51.9573504,5.2253042,"3,8","4,5","4,4","4,1","5,0","5,2","5,0","5,4","6,5"
Doesburg,11070,13245,5108,Gelderland,683431.531,6768950.691,52.0139605,6.1393699,"2,1","2,5","2,7","2,9","3,4","3,5","3,4","3,5","4,3"
Doetinchem,57935,84370,26204,Gelderland,700100.445,6760216.211,51.9655192,6.2891093,"1,9","2,1","2,6","2,7","3,3","3,2","2,9","3,2","4,2"
Druten,18905,28320,7911,Gelderland,623718.877,6745911.719,51.8860729,5.602962,"1,8","2,2","2,3","2,5","2,8","2,8","2,3","2,6","3,3"
Duiven,25115,33505,4525,Gelderland,670654.736,6757345.342,51.9495859,6.024594,"35,9","39,6","67,4","53,1","49,3","52,4","46,5","50,3","49,0"
Ede,117100,173760,43236,Gelderland,631203.899,6774701.652,52.0458265,5.6702011,"2,3","3,2","3,8","3,5","4,6","4,3","5,6","6,6","8,7"
Elburg,23150,31420,9360,,2837050.883,5223468.69,42.6073975,25.4856617,"2,1","3,1","3,5","4,0","4,9","4,4","4,4","5,0","6,3"
Epe,24300,44260,13137,Gelderland,666099.142,6829209.679,52.3467225,5.9836704,"2,2","2,7","3,0","2,8","3,7","3,1","3,0","3,3","4,5"
Ermelo,26995,38460,11978,Gelderland,625951.723,6820748.652,52.30015,5.62302,"2,1","2,5","3,2","3,1","3,2","2,7","2,9",?,"4,1"
Harderwijk,48355,56780,20385,Gelderland,625496.76,6829636.269,52.3490693,5.618933,"2,0","3,0","4,4","4,3","6,5","4,8","4,3","4,8","6,2"
Lochem,31535,55015,14626,Gelderland,714057.627,6795064.074,52.158471,6.4144888,"1,8","2,1","2,3","2,3",?,"2,7","2,6","2,9","3,9"
Maasdriel,25010,43710,10301,Gelderland,591862.634,6727810.622,51.7853378,5.3167925,"1,7","2,3","2,4","2,5",?,"3,0","3,3","3,3","4,5"
Nijkerk,43155,63720,17947,Gelderland,610288.225,6806572.98,52.2220116,5.4823124,"1,9","2,5","3,1","2,9","4,0","3,0","3,7","4,6","6,0"
Nijmegen,177630,178530,71763,Gelderland,652752.681,6738974.772,51.8474946,5.8637771,"23,4","24,7","16,3","1,7","1,9","2,0","1,9","2,6","3,5"
Putten,24095,37860,9700,Gelderland,624507.564,6813620.361,52.2608751,5.6100469,"2,3","3,0","3,1","3,0","6,5","6,5","6,0","6,0","9,3"
Renkum,31375,41685,13893,Gelderland,638257.993,6761944.149,51.9751065,5.7335691,"1,2","1,7",?,?,?,"12,7","10,3",?,?
Rheden,43745,53045,19823,Gelderland,671287.766,6767223.121,52.0043836,6.0302806,"2,4","2,9","2,7","2,9","3,2","3,2","2,8","3,1","4,1"
Rozendaal,1700,2750,690,Gelderland,663519.702,6767093.833,52.0036668,5.9604989,"2,8","3,5",?,?,?,?,"4,8","5,0","6,0"
Tiel,42130,62215,17969,Gelderland,605273.916,6746156.449,51.8874333,5.4372681,"1,3","1,7","1,9","2,2","2,5","2,5","2,5","2,7","3,5"
Wageningen,39635,43815,12685,Gelderland,630477.462,6761942.888,51.9750995,5.6636754,"1,7","2,0","2,0","2,0","2,3","2,4","2,4","2,7","3,9"
Westervoort,14965,14795,4028,Gelderland,665719.498,6759508.151,51.96159,5.98026,"2,5","3,0","3,0","3,3","3,8","4,0","3,9",?,"5,0"
Winterswijk,28840,52435,13427,Gelderland,748336.204,6761860.639,51.9746432,6.7224185,"2,1","2,4","3,0","2,9","3,9","3,3","3,4","3,9","4,9"
Wijchen,41045,61215,17744,Gelderland,638553.457,6732238.109,51.8099983,5.7362233,"1,9","2,4","2,4","2,5","3,5","3,4","3,6","3,7","5,2"
Zaltbommel,28830,54800,11640,Gelderland,583438.854,6731638.221,51.8066578,5.2411204,"0,8","0,9","0,8","0,8","0,9","0,8","0,7","0,8","1,2"
Zevenaar,43665,61575,19382,Gelderland,676704.45,6754848.749,51.9357252,6.0789395,"1,4","1,8","4,0","2,7","4,1","3,1","3,1","4,0","4,9"
Zutphen,47885,65690,22354,Gelderland,690675.558,6792304.528,52.143222,6.2044441,"2,7","3,2","3,2","3,2","3,9","3,9","3,5","3,8","5,0"
Nunspeet,27815,37362,11140,Gelderland,643525.286,6835000.892,52.378571,5.780886,"1,9","2,4","2,4","2,4","2,7","2,6","2,3","2,7","3,7"
Dronten,41480,110168,17856,Flevoland,636306.451,6861436.741,52.5236608,5.7160381,"29,6","32,4","31,3","35,6","34,2","35,0","31,9","35,4","37,7"
Amsterdam,871395,765052,388932,Noord-Holland,544753.517,6833943.892,52.3727598,4.8936041,"5,7","6,5","6,7","6,5","6,5","7,3","7,4","7,9","8,1"
Beemster,9995,24890,4044,Noord-Holland,547677.19,6868520.046,52.562455,4.9198679,"2,1","2,8","2,8","2,7",?,"2,9","2,6","3,0","4,5"
Bergen (NH.),29775,45420,15539,Noord-Holland,523330.915,6888230.988,52.6702278,4.7011616,"2,8","3,1","3,0","3,1","3,4","3,5","3,4",?,"4,8"
